"","X1","carat","cut","cut_ord","color","clarity","clarity_ord","predicted_price"
"77",77,0.54,"Premium",4,"J","VS2",5,2191.54818
"78",78,0.25,"Good",2,"E","VVS2",6,-96.7987500000002
"79",79,2.5,"Good",2,"J","VS2",5,18263.0875
"80",80,0.72,"Good",2,"D","VS1",4,2918.40324
"81",81,0.41,"Ideal",5,"E","VS2",5,1264.68297
"82",82,2.03,"Ideal",5,"G","SI2",2,13440.01251
"83",83,1.24,"Premium",4,"D","SI1",3,7130.33608
"84",84,0.92,"Premium",4,"G","SI2",2,3996.24064
"85",85,1,"Fair",1,"E","SI2",2,4184.177
"86",86,0.57,"Ideal",5,"F","VS1",4,2145.02769
"87",87,0.54,"Ideal",5,"D","SI1",3,1436.32318
"88",88,1.08,"Premium",4,"H","SI2",2,5334.38736
"89",89,0.54,"Very Good",3,"H","VVS1",7,2946.77318
"90",90,0.63,"Very Good",3,"F","VS2",5,2783.87671
"91",91,1.58,"Premium",4,"D","SI1",3,9973.89786
"92",92,0.3,"Very Good",3,"D","VS2",5,23.9491
"93",93,1.56,"Ideal",5,"G","VVS2",6,11340.41452
"94",94,0.26,"Very Good",3,"F","VVS2",6,147.21442
"95",95,0.57,"Ideal",5,"E","VS2",5,2602.82969
"96",96,0.39,"Ideal",5,"F","IF",8,2470.82063
"97",97,1.13,"Very Good",3,"G","SI2",2,5592.17921
"98",98,1.09,"Ideal",5,"H","SI1",3,6036.20253
"99",99,1.52,"Ideal",5,"E","SI2",2,9174.66984
"100",100,1.01,"Very Good",3,"E","VS1",4,5504.17317
"101",101,1.21,"Premium",4,"H","SI2",2,6421.63157
"102",102,0.5,"Ideal",5,"H","SI1",3,1101.7865
"103",103,1.33,"Premium",4,"E","SI2",2,7425.24161
"104",104,0.52,"Very Good",3,"D","VS2",5,1863.90084
"105",105,0.33,"Ideal",5,"H","SI2",2,-777.79639
"106",106,1.06,"Premium",4,"G","SI2",2,5167.11902
"107",107,0.9,"Premium",4,"F","SI2",2,3828.9723
"108",108,0.92,"Ideal",5,"H","VS1",4,5072.22364
"109",109,1.54,"Premium",4,"D","VS2",5,10554.96518
"110",110,1,"Premium",4,"E","SI2",2,4665.314
"111",111,1.2,"Ideal",5,"G","VS1",4,7413.9804
"112",112,1,"Ideal",5,"E","SI1",3,5283.495
"113",113,0.33,"Very Good",3,"E","SI1",3,-640.75239
"114",114,0.38,"Ideal",5,"E","IF",8,2387.18646
"115",115,0.55,"Ideal",5,"H","VVS2",6,2893.36335
"116",116,0.31,"Premium",4,"J","VS2",5,267.96227
"117",117,1.13,"Ideal",5,"D","VS1",4,6828.54121
"118",118,0.33,"Premium",4,"D","SI1",3,-480.37339
"119",119,1.03,"Premium",4,"E","VS2",5,6289.62251
"120",120,0.53,"Very Good",3,"F","SI1",3,1031.93101
"121",121,1,"Good",2,"F","I1",1,3886.754
"122",122,0.8,"Very Good",3,"F","VS1",4,3747.8556
"123",123,1.25,"Good",2,"I","SI2",2,6435.41025
"124",124,0.5,"Very Good",3,"E","SI1",3,781.0285
"125",125,0.56,"Ideal",5,"D","VS2",5,2519.19552
"126",126,0.46,"Ideal",5,"J","VS2",5,1682.85382
"127",127,2.1,"Premium",4,"H","SI2",2,13865.0727
"128",128,0.77,"Ideal",5,"D","SI1",3,3359.90909
"129",129,0.53,"Premium",4,"H","VS2",5,2107.91401
"130",130,0.75,"Very Good",3,"F","VS1",4,3329.68475
"131",131,0.41,"Premium",4,"F","VVS2",6,1562.10597
"132",132,0.41,"Ideal",5,"G","VVS1",7,2180.28697
"133",133,0.51,"Ideal",5,"D","VS2",5,2101.02467
"134",134,0.34,"Premium",4,"G","VS2",5,518.86478
"135",135,0.51,"Ideal",5,"E","SI2",2,727.61867
"136",136,0.3,"Premium",4,"H","SI1",3,-731.2759
"137",137,1.5,"Good",2,"G","SI2",2,8526.2645
"138",138,1.01,"Very Good",3,"F","SI2",2,4588.56917
"139",139,1.1,"Ideal",5,"G","VS1",4,6577.6387
"140",140,0.5,"Good",2,"D","SI1",3,620.6495
"141",141,1,"Good",2,"E","VVS2",6,6175.764
"142",142,1.22,"Ideal",5,"J","VS1",4,7581.24874
"143",143,1.51,"Ideal",5,"H","SI2",2,9091.03567
"144",144,0.31,"Ideal",5,"E","VVS1",7,1343.94527
"145",145,0.95,"Premium",4,"E","SI2",2,4247.14315
"146",146,1.06,"Very Good",3,"I","SI2",2,5006.74002
"147",147,1.39,"Premium",4,"E","VS2",5,9300.45263
"148",148,1.01,"Very Good",3,"H","VS2",5,5961.97517
"149",149,0.72,"Premium",4,"D","SI1",3,2781.35924
"150",150,0.51,"Premium",4,"D","VS1",4,1482.84367
"151",151,1.5,"Very Good",3,"D","SI2",2,8686.6435
"152",152,0.7,"Premium",4,"G","VVS1",7,4445.2989
"153",153,1.01,"Premium",4,"H","SI2",2,4748.94817
"154",154,0.3,"Ideal",5,"I","SI1",3,-570.8969
"155",155,1.29,"Premium",4,"F","SI1",3,7548.50693
"156",156,1.01,"Very Good",3,"F","VS2",5,5961.97517
"157",157,0.33,"Ideal",5,"I","VS2",5,595.60961
"158",158,1.53,"Premium",4,"H","SI2",2,9097.92501
"159",159,0.85,"Premium",4,"D","SI2",2,3410.80145
"160",160,0.33,"Ideal",5,"G","VS2",5,595.60961
"161",161,0.6,"Ideal",5,"D","VVS1",7,3769.3362
"162",162,0.63,"Premium",4,"I","VS1",4,2486.45371
"163",163,1.04,"Premium",4,"G","SI2",2,4999.85068
"164",164,2.01,"Very Good",3,"H","SI2",2,12951.98617
"165",165,0.71,"Premium",4,"E","SI1",3,2697.72507
"166",166,0.3,"Very Good",3,"G","VVS2",6,481.7511
"167",167,1.74,"Ideal",5,"J","VS1",4,11930.22558
"168",168,1.06,"Ideal",5,"E","SI1",3,5785.30002
"169",169,0.7,"Fair",1,"G","SI1",3,2132.9539
"170",170,1.52,"Very Good",3,"G","VS2",5,10227.31784
"171",171,0.41,"Ideal",5,"F","VS2",5,1264.68297
"172",172,1.22,"Ideal",5,"G","VS1",4,7581.24874
"173",173,0.37,"Premium",4,"E","SI1",3,-145.83671
"174",174,0.3,"Premium",4,"H","SI1",3,-731.2759
"175",175,0.54,"Premium",4,"E","SI1",3,1275.94418
"176",176,0.37,"Ideal",5,"E","VS2",5,930.14629
"177",177,1.5,"Premium",4,"E","VVS2",6,10678.2305
"178",178,0.62,"Very Good",3,"G","VS2",5,2700.24254
"179",179,1.33,"Premium",4,"H","SI2",2,7425.24161
"180",180,1.51,"Very Good",3,"J","SI2",2,8770.27767
"181",181,0.31,"Ideal",5,"H","VVS1",7,1343.94527
"182",182,0.38,"Ideal",5,"G","SI2",2,-359.62554
"183",183,0.31,"Ideal",5,"I","VS1",4,-29.4607300000002
"184",184,0.34,"Premium",4,"G","VVS2",6,976.66678
"185",185,0.75,"Good",2,"E","SI2",2,2253.70175
"186",186,0.28,"Very Good",3,"F","VVS2",6,314.48276
"187",187,1.23,"Very Good",3,"G","SI2",2,6428.52091
"188",188,0.75,"Good",2,"E","SI1",3,2711.50375
"189",189,1.11,"Ideal",5,"H","VVS2",6,7576.87687
"190",190,2.07,"Very Good",3,"I","SI1",3,13911.59319
"191",191,1,"Premium",4,"D","SI1",3,5123.116
"192",192,0.79,"Ideal",5,"F","SI1",3,3527.17743
"193",193,0.31,"Ideal",5,"G","VS1",4,-29.4607300000002
"194",194,0.31,"Premium",4,"I","VVS1",7,1183.56627
"195",195,1,"Ideal",5,"H","SI1",3,5283.495
"196",196,0.41,"Premium",4,"G","VS1",4,646.50197
"197",197,0.51,"Premium",4,"E","SI1",3,1025.04167
"198",198,1.91,"Very Good",3,"F","SI1",3,12573.44647
"199",199,1.19,"Very Good",3,"E","VS2",5,7467.39023
"200",200,0.32,"Premium",4,"F","VVS1",7,1267.20044
"201",201,0.55,"Ideal",5,"F","SI2",2,1062.15535
"202",202,0.32,"Ideal",5,"F","IF",8,1885.38144
"203",203,1.09,"Ideal",5,"G","SI2",2,5578.40053
"204",204,0.9,"Very Good",3,"I","VVS1",7,5957.6033
"205",205,0.74,"Ideal",5,"E","VS2",5,4024.61058
"206",206,0.9,"Very Good",3,"G","VS2",5,5041.9993
"207",207,0.76,"Ideal",5,"D","VS1",4,3734.07692
"208",208,0.73,"Ideal",5,"D","SI2",2,2567.57041
"209",209,0.52,"Good",2,"G","SI1",3,787.91784
"210",210,0.73,"Premium",4,"E","SI1",3,2864.99341
"211",211,0.76,"Premium",4,"I","VS2",5,4031.49992
"212",212,0.48,"Good",2,"F","VS1",4,911.18316
"213",213,1.5,"Fair",1,"D","SI1",3,8823.6875
"214",214,0.37,"Very Good",3,"F","SI1",3,-306.21571
"215",215,0.43,"Premium",4,"E","VS2",5,1271.57231
"216",216,0.58,"Ideal",5,"E","VVS2",6,3144.26586
"217",217,1.01,"Ideal",5,"D","SI1",3,5367.12917
"218",218,0.28,"Ideal",5,"H","VS1",4,-280.36324
"219",219,0.53,"Very Good",3,"G","VS1",4,1489.73301
"220",220,0.9,"Very Good",3,"I","VS2",5,5041.9993
"221",221,0.3,"Ideal",5,"F","VVS1",7,1260.3111
"222",222,1.51,"Premium",4,"D","SI2",2,8930.65667
"223",223,1.01,"Premium",4,"G","SI2",2,4748.94817
"224",224,0.31,"Ideal",5,"F","VS2",5,428.34127
"225",225,0.66,"Ideal",5,"D","VS2",5,3355.53722
"226",226,0.56,"Premium",4,"D","SI1",3,1443.21252
"227",227,0.28,"Very Good",3,"E","VVS2",6,314.48276
"228",228,0.55,"Ideal",5,"F","SI2",2,1062.15535
"229",229,0.29,"Ideal",5,"G","IF",8,1634.47893
"230",230,0.36,"Ideal",5,"E","VS1",4,388.71012
"231",231,0.31,"Ideal",5,"D","SI1",3,-487.26273
"232",232,0.58,"Very Good",3,"G","VVS2",6,2823.50786
"233",233,0.4,"Premium",4,"D","SI2",2,-352.7362
"234",234,0.29,"Ideal",5,"I","VS1",4,-196.72907
"235",235,0.62,"Very Good",3,"E","VS1",4,2242.44054
"236",236,0.73,"Ideal",5,"E","SI2",2,2567.57041
"237",237,2.01,"Very Good",3,"J","SI2",2,12951.98617
"238",238,0.7,"Very Good",3,"G","I1",1,1538.1079
"239",239,0.54,"Good",2,"D","SI2",2,497.38418
"240",240,0.3,"Fair",1,"D","VVS2",6,160.9931
"241",241,0.38,"Ideal",5,"H","VVS1",7,1929.38446
"242",242,0.7,"Premium",4,"G","VS1",4,3071.8929
"243",243,0.82,"Ideal",5,"E","SI2",2,3320.27794
"244",244,0.41,"Ideal",5,"E","VVS2",6,1722.48497
"245",245,0.64,"Ideal",5,"G","IF",8,4561.67488
"246",246,1.01,"Very Good",3,"H","VS1",4,5504.17317
"247",247,0.58,"Very Good",3,"I","VS2",5,2365.70586
"248",248,0.34,"Ideal",5,"D","VS1",4,221.44178
"249",249,0.85,"Ideal",5,"E","VS1",4,4486.78445
"250",250,0.91,"Good",2,"G","SI2",2,3591.84847
"251",251,0.91,"Premium",4,"G","SI2",2,3912.60647
"252",252,0.5,"Fair",1,"E","VS2",5,1375.8745
"253",253,1,"Premium",4,"F","VS2",5,6038.72
"254",254,1.5,"Very Good",3,"G","SI1",3,9144.4455
"255",255,1.26,"Ideal",5,"H","VS1",4,7915.78542
"256",256,0.35,"Premium",4,"D","SI2",2,-770.90705
"257",257,1.09,"Premium",4,"I","VS2",5,6791.42753
"258",258,0.3,"Ideal",5,"F","VS2",5,344.7071
"259",259,0.27,"Ideal",5,"E","VS1",4,-363.99741
"260",260,0.32,"Ideal",5,"E","VVS2",6,969.77744
"261",261,1.09,"Premium",4,"I","VS1",4,6333.62553
"262",262,0.4,"Premium",4,"F","SI1",3,105.0658
"263",263,1.04,"Ideal",5,"E","VVS2",6,6991.43768
"264",264,0.51,"Premium",4,"E","VS2",5,1940.64567
"265",265,0.73,"Ideal",5,"H","SI1",3,3025.37241
"266",266,1.01,"Good",2,"H","SI2",2,4428.19017
"267",267,1.34,"Ideal",5,"G","VS2",5,9042.66078
"268",268,0.52,"Ideal",5,"G","VVS2",6,2642.46084
"269",269,1.21,"Good",2,"H","VS1",4,7016.47757
"270",270,0.35,"Ideal",5,"F","VS1",4,305.07595
"271",271,0.7,"Ideal",5,"G","VVS2",6,4147.8759
"272",272,0.7,"Premium",4,"G","SI1",3,2614.0909
"273",273,0.42,"Very Good",3,"G","SI1",3,111.95514
"274",274,0.38,"Premium",4,"D","SI2",2,-520.00454
"275",275,0.3,"Ideal",5,"G","VS1",4,-113.0949
"276",276,0.91,"Premium",4,"F","SI2",2,3912.60647
"277",277,1.11,"Premium",4,"G","SI1",3,6043.09187
"278",278,0.3,"Good",2,"G","IF",8,1236.9761
"279",279,0.32,"Ideal",5,"F","VVS1",7,1427.57944
"280",280,0.42,"Ideal",5,"F","VS2",5,1348.31714
"281",281,0.54,"Ideal",5,"G","VVS2",6,2809.72918
"282",282,2.03,"Very Good",3,"I","VS2",5,14492.66051
"283",283,0.4,"Good",2,"F","VS2",5,699.9118
"284",284,0.57,"Premium",4,"H","VS1",4,1984.64869
"285",285,0.72,"Ideal",5,"J","VVS1",7,4772.94624
"286",286,1.3,"Premium",4,"I","SI1",3,7632.1411
"287",287,1.01,"Premium",4,"E","VS2",5,6122.35417
"288",288,0.39,"Ideal",5,"G","SI2",2,-275.99137
"289",289,0.43,"Ideal",5,"F","VVS2",6,1889.75331
"290",290,0.77,"Premium",4,"I","SI1",3,3199.53009
"291",291,0.53,"Ideal",5,"F","VVS1",7,3183.89701
"292",292,0.65,"Very Good",3,"I","IF",8,4324.55105
"293",293,0.33,"Premium",4,"D","SI2",2,-938.17539
"294",294,1.02,"Premium",4,"F","SI2",2,4832.58234
"295",295,0.31,"Premium",4,"G","VVS1",7,1183.56627
"296",296,0.36,"Ideal",5,"F","SI1",3,-69.0918800000004
"297",297,0.3,"Very Good",3,"H","VVS1",7,939.5531
"298",298,0.9,"Very Good",3,"H","SI2",2,3668.5933
"299",299,1.05,"Ideal",5,"G","SI1",3,5701.66585
"300",300,1.5,"Good",2,"D","SI2",2,8526.2645
"301",301,0.9,"Very Good",3,"H","VS1",4,4584.1973
"302",302,0.72,"Very Good",3,"E","SI1",3,2620.98024
"303",303,0.42,"Premium",4,"G","VS2",5,1187.93814
"304",304,0.53,"Premium",4,"I","VVS1",7,3023.51801
"305",305,0.51,"Very Good",3,"F","SI1",3,864.66267
"306",306,0.51,"Ideal",5,"H","VS2",5,2101.02467
"307",307,0.86,"Premium",4,"F","SI2",2,3494.43562
"308",308,1.51,"Premium",4,"H","SI1",3,9388.45867
"309",309,0.37,"Ideal",5,"F","VS1",4,472.34429
"310",310,0.56,"Premium",4,"D","SI1",3,1443.21252
"311",311,1.59,"Premium",4,"I","VS2",5,10973.13603
"312",312,0.73,"Ideal",5,"H","SI1",3,3025.37241
"313",313,0.31,"Ideal",5,"F","IF",8,1801.74727
"314",314,0.4,"Very Good",3,"F","SI1",3,-55.3132000000003
"315",315,0.52,"Ideal",5,"F","VS2",5,2184.65884
"316",316,1.04,"Premium",4,"H","SI1",3,5457.65268
"317",317,1,"Ideal",5,"J","VS1",4,5741.297
"318",318,0.78,"Ideal",5,"F","SI1",3,3443.54326
"319",319,0.76,"Ideal",5,"J","SI1",3,3276.27492
"320",320,0.71,"Premium",4,"E","VS2",5,3613.32907
"321",321,0.9,"Ideal",5,"G","SI2",2,3989.3513
"322",322,1.01,"Very Good",3,"E","SI2",2,4588.56917
"323",323,0.81,"Very Good",3,"G","SI2",2,2915.88577
"324",324,0.36,"Ideal",5,"F","VVS2",6,1304.31412
"325",325,0.61,"Ideal",5,"I","SI2",2,1563.96037
"326",326,0.51,"Ideal",5,"E","VS2",5,2101.02467
"327",327,0.24,"Ideal",5,"E","VVS2",6,300.70408
"328",328,0.52,"Ideal",5,"H","IF",8,3558.06484
"329",329,1,"Premium",4,"H","SI2",2,4665.314
"330",330,0.31,"Ideal",5,"H","VVS2",6,886.14327
"331",331,1.08,"Premium",4,"H","VS1",4,6249.99136
"332",332,0.7,"Good",2,"D","VS2",5,3208.9369
"333",333,0.3,"Very Good",3,"F","VVS1",7,939.5531
"334",334,0.3,"Ideal",5,"H","SI1",3,-570.8969
"335",335,0.7,"Very Good",3,"G","VS2",5,3369.3159
"336",336,0.72,"Ideal",5,"E","SI2",2,2483.93624
"337",337,0.3,"Ideal",5,"H","VVS1",7,1260.3111
"338",338,0.76,"Premium",4,"F","SI1",3,3115.89592
"339",339,0.41,"Very Good",3,"D","SI1",3,28.3209699999995
"340",340,0.41,"Premium",4,"E","SI1",3,188.69997
"341",341,0.4,"Very Good",3,"D","SI2",2,-513.1152
"342",342,1.54,"Good",2,"E","SI1",3,9318.60318
"343",343,0.55,"Ideal",5,"E","VVS2",6,2893.36335
"344",344,0.57,"Ideal",5,"H","SI1",3,1687.22569
"345",345,0.53,"Ideal",5,"E","VS2",5,2268.29301
"346",346,0.33,"Very Good",3,"E","VS2",5,274.85161
"347",347,1.53,"Premium",4,"D","SI2",2,9097.92501
"348",348,0.52,"Ideal",5,"H","SI1",3,1269.05484
"349",349,1.01,"Very Good",3,"F","VVS1",7,6877.57917
"350",350,0.91,"Very Good",3,"D","SI1",3,4210.02947
"351",351,0.54,"Premium",4,"F","VS2",5,2191.54818
"352",352,0.53,"Premium",4,"H","SI1",3,1192.31001
"353",353,1.02,"Premium",4,"G","VS2",5,6205.98834
"354",354,0.3,"Premium",4,"H","VS1",4,-273.4739
"355",355,2.05,"Ideal",5,"H","SI2",2,13607.28085
"356",356,0.3,"Premium",4,"D","VS2",5,184.3281
"357",357,0.3,"Premium",4,"H","VS1",4,-273.4739
"358",358,0.9,"Very Good",3,"J","VS1",4,4584.1973
"359",359,2.25,"Ideal",5,"I","SI2",2,15279.96425
"360",360,0.42,"Ideal",5,"G","VVS1",7,2263.92114
"361",361,0.7,"Good",2,"F","SI2",2,1835.5309
"362",362,1.2,"Very Good",3,"I","SI1",3,6635.4204
"363",363,1.52,"Premium",4,"G","SI1",3,9472.09284
"364",364,0.33,"Ideal",5,"G","VVS1",7,1511.21361
"365",365,1.21,"Premium",4,"J","VVS2",6,8252.83957
"366",366,0.23,"Very Good",3,"E","VVS2",6,-103.68809
"367",367,0.31,"Ideal",5,"H","VVS2",6,886.14327
"368",368,0.5,"Ideal",5,"F","SI1",3,1101.7865
"369",369,1.01,"Very Good",3,"H","SI1",3,5046.37117
"370",370,0.76,"Ideal",5,"H","VS2",5,4191.87892
"371",371,0.31,"Premium",4,"E","VVS2",6,725.76427
"372",372,1.77,"Ideal",5,"D","SI2",2,11265.52409
"373",373,0.4,"Very Good",3,"G","SI1",3,-55.3132000000003
"374",374,0.51,"Very Good",3,"G","VS2",5,1780.26667
"375",375,0.54,"Ideal",5,"F","VVS1",7,3267.53118
"376",376,0.3,"Ideal",5,"F","SI1",3,-570.8969
"377",377,1.06,"Ideal",5,"I","SI2",2,5327.49802
"378",378,0.81,"Ideal",5,"F","VS1",4,4152.24777
"379",379,0.58,"Ideal",5,"D","SI1",3,1770.85986
"380",380,0.53,"Good",2,"H","SI1",3,871.55201
"381",381,0.3,"Very Good",3,"E","SI1",3,-891.6549
"382",382,1.09,"Premium",4,"F","SI1",3,5875.82353
"383",383,1.17,"Ideal",5,"I","SI2",2,6247.47389
"384",384,1.53,"Ideal",5,"I","VS2",5,10631.71001
"385",385,1.03,"Good",2,"E","SI2",2,4595.45851
"386",386,0.35,"Premium",4,"I","SI1",3,-313.10505
"387",387,1,"Very Good",3,"D","VS2",5,5878.341
"388",388,2.01,"Premium",4,"G","SI2",2,13112.36517
"389",389,0.32,"Premium",4,"G","VS1",4,-106.20556
"390",390,1.01,"Ideal",5,"F","SI2",2,4909.32717
"391",391,0.4,"Very Good",3,"D","VS2",5,860.2908
"392",392,1.12,"Premium",4,"D","SI2",2,5668.92404
"393",393,1.24,"Very Good",3,"H","VVS2",6,8343.36308
"394",394,0.52,"Ideal",5,"E","VS2",5,2184.65884
"395",395,0.82,"Very Good",3,"F","VVS2",6,4830.72794
"396",396,1.05,"Good",2,"G","SI2",2,4762.72685
"397",397,1,"Very Good",3,"F","VS2",5,5878.341
"398",398,0.81,"Very Good",3,"J","SI1",3,3373.68777
"399",399,1.02,"Very Good",3,"E","VS1",4,5587.80734
"400",400,0.75,"Fair",1,"J","VS1",4,3008.92675
"401",401,0.4,"Very Good",3,"D","SI2",2,-513.1152
"402",402,2.04,"Premium",4,"F","SI2",2,13363.26768
"403",403,0.52,"Ideal",5,"E","VS2",5,2184.65884
"404",404,0.8,"Very Good",3,"F","VS2",5,4205.6576
"405",405,1.01,"Very Good",3,"F","VS1",4,5504.17317
"406",406,0.43,"Premium",4,"E","SI1",3,355.96831
"407",407,1.13,"Premium",4,"G","VVS1",7,8041.56821
"408",408,0.4,"Ideal",5,"F","IF",8,2554.4548
"409",409,1.05,"Premium",4,"G","VS1",4,5999.08885
"410",410,0.41,"Good",2,"E","VS2",5,783.54597
"411",411,1.01,"Ideal",5,"G","VS2",5,6282.73317
"412",412,0.7,"Fair",1,"G","SI1",3,2132.9539
"413",413,0.55,"Ideal",5,"G","VVS1",7,3351.16535
"414",414,0.53,"Ideal",5,"E","VS2",5,2268.29301
"415",415,1.16,"Ideal",5,"F","VS2",5,7537.24572
"416",416,0.3,"Ideal",5,"F","VS1",4,-113.0949
"417",417,0.7,"Ideal",5,"F","VS2",5,3690.0739
"418",418,0.33,"Very Good",3,"F","VVS2",6,732.65361
"419",419,0.71,"Premium",4,"E","VS2",5,3613.32907
"420",420,0.71,"Premium",4,"E","VS1",4,3155.52707
"421",421,0.33,"Ideal",5,"G","IF",8,1969.01561
"422",422,1.58,"Ideal",5,"I","SI1",3,10134.27686
"423",423,1.63,"Premium",4,"I","VS1",4,10849.87071
"424",424,0.38,"Ideal",5,"E","IF",8,2387.18646
"425",425,1.29,"Premium",4,"I","VS1",4,8006.30893
"426",426,1.1,"Very Good",3,"I","SI2",2,5341.2767
"427",427,1.73,"Premium",4,"F","SI2",2,10770.60841
"428",428,1.01,"Fair",1,"F","SI1",3,4725.61317
"429",429,0.41,"Very Good",3,"E","SI2",2,-429.48103
"430",430,0.9,"Premium",4,"I","VS2",5,5202.3783
"431",431,0.3,"Ideal",5,"I","VS1",4,-113.0949
"432",432,0.27,"Ideal",5,"E","VS1",4,-363.99741
"433",433,0.28,"Very Good",3,"H","SI1",3,-1058.92324
"434",434,1.17,"Ideal",5,"H","VS2",5,7620.87989
"435",435,1.02,"Premium",4,"E","SI1",3,5290.38434
"436",436,0.34,"Ideal",5,"E","VVS1",7,1594.84778
"437",437,0.45,"Good",2,"F","VS1",4,660.28065
"438",438,0.75,"Ideal",5,"G","SI2",2,2734.83875
"439",439,0.31,"Ideal",5,"F","VVS2",6,886.14327
"440",440,0.38,"Ideal",5,"D","VVS2",6,1471.58246
"441",441,0.39,"Premium",4,"G","VS2",5,937.03563
"442",442,0.54,"Ideal",5,"G","SI1",3,1436.32318
